name,genre,year,score,votes,director,star
Fanny and Alexander,Drama,1982,8.1,59000.0,Ingmar Bergman,Bertil Guve
Friday the 13th Part III,Horror,1982,5.7,49000.0,Steve Miner,Dana Kimmell
Firefox,Action,1982,6.0,26000.0,Clint Eastwood,Clint Eastwood
Halloween III: Season of the Witch,Horror,1982,5.0,45000.0,Tommy Lee Wallace,Tom Atkins
The Dark Crystal,Adventure,1982,7.2,63000.0,Jim Henson,Jim Henson
The Verdict,Drama,1982,7.7,37000.0,Sidney Lumet,Paul Newman
Pieces,Horror,1982,6.1,9300.0,Juan Piquer Simón,Christopher George
Zapped!,Comedy,1982,4.9,6500.0,Robert J. Rosenthal,Scott Baio
Six Pack,Comedy,1982,5.9,2800.0,Daniel Petrie,Kenny Rogers
The World According to Garp,Comedy,1982,7.2,25000.0,George Roy Hill,Robin Williams
Diner,Comedy,1982,7.1,19000.0,Barry Levinson,Steve Guttenberg
The Best Little Whorehouse in Texas,Comedy,1982,6.0,10000.0,Colin Higgins,Burt Reynolds
The Year of Living Dangerously,Drama,1982,7.1,20000.0,Peter Weir,Mel Gibson
Night Shift,Comedy,1982,6.6,15000.0,Ron Howard,Henry Winkler
Summer Lovers,Comedy,1982,5.7,3900.0,Randal Kleiser,Peter Gallagher
Victor Victoria,Comedy,1982,7.6,20000.0,Blake Edwards,Julie Andrews
The Last Unicorn,Animation,1982,7.4,25000.0,Jules Bass,Jeff Bridges
The Entity,Drama,1982,6.7,15000.0,Sidney J. Furie,Barbara Hershey
Airplane II: the Sequel,Comedy,1982,6.2,50000.0,Ken Finkleman,Robert Hays
The Toy,Comedy,1982,5.8,11000.0,Richard Donner,Richard Pryor
The House on Sorority Row,Horror,1982,6.0,7800.0,Mark Rosman,Kate McNeil
Evil Under the Sun,Crime,1982,7.1,15000.0,Guy Hamilton,Peter Ustinov
The Sword and the Sorcerer,Action,1982,5.6,5700.0,Albert Pyun,Lee Horsley
Death Wish II,Action,1982,6.0,15000.0,Michael Winner,Charles Bronson
Silent Rage,Action,1982,5.5,5300.0,Michael Miller,Chuck Norris
Megaforce,Action,1982,3.7,3400.0,Hal Needham,Barry Bostwick
Personal Best,Drama,1982,6.3,2600.0,Robert Towne,Mariel Hemingway
Dead Men Don't Wear Plaid,Comedy,1982,6.9,21000.0,Carl Reiner,Steve Martin
Amityville II: The Possession,Horror,1982,5.5,11000.0,Damiano Damiani,James Olson
Missing,Biography,1982,7.7,19000.0,Costa-Gavras,Jack Lemmon
Frances,Biography,1982,7.3,7300.0,Graeme Clifford,Jessica Lange
The Seduction,Thriller,1982,4.9,1100.0,David Schmoeller,Morgan Fairchild
Cannery Row,Comedy,1982,6.7,3500.0,David S. Ward,Nick Nolte
Deathtrap,Comedy,1982,7.0,13000.0,Sidney Lumet,Michael Caine
Tex,Drama,1982,6.5,2000.0,Tim Hunter,Matt Dillon
Time Walker,Horror,1982,3.6,1700.0,Tom Kennedy,Ben Murphy
"I, the Jury",Crime,1982,5.9,1500.0,Richard T. Heffron,Armand Assante
Tempest,Comedy,1982,6.5,2200.0,Paul Mazursky,John Cassavetes
Young Doctors in Love,Comedy,1982,5.5,3000.0,Garry Marshall,Michael McKean
My Favorite Year,Comedy,1982,7.4,9000.0,Richard Benjamin,Peter O'Toole
Still of the Night,Crime,1982,6.1,4300.0,Robert Benton,Roy Scheider
Parasite,Horror,1982,3.9,2300.0,Charles Band,Robert Glaudini
Making Love,Drama,1982,6.9,2500.0,Arthur Hiller,Michael Ontkean
Honkytonk Man,Comedy,1982,6.6,8200.0,Clint Eastwood,Clint Eastwood
The Beast Within,Horror,1982,5.6,3700.0,Philippe Mora,Ronny Cox
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",Comedy,1982,7.2,4200.0,Robert Altman,Cher
